ID,MID,WILAYAH,CHANNEL
,204167613,WBN,PPP
,204167621,WBN,PPP
,204167639,WBN,PPP
,204167647,WBN,PPP
,204167654,WBN,PPP
,204167662,WBN,PPP
,204167670,WBN,PPP
,204167688,WBN,PPP
,204167696,WBN,PPP
,204167704,WBN,PPP
,204167712,WBN,PPP
,204167720,WBN,PPP
,204167738,WBN,PPP
,204167746,WBN,PPP
,204167753,WBN,PPP
,204167761,WBN,PPP
,204167779,WBN,PPP
,204167787,WBN,PPP
,204167795,WBN,PPP
,204167803,WBN,PPP
,204167811,WBN,PPP
,204167829,WBN,PPP
,204167837,WBN,PPP
,204167845,WBN,PPP
,204167852,WBN,PPP
,204167860,WBN,PPP
,204167878,WBN,PPP
,204167886,WBN,PPP
,204167894,WBN,PPP
,204167902,WBN,PPP
,204167910,WBN,PPP
,204167928,WBN,PPP
,204167936,WBN,PPP
,204167944,WBN,PPP
,204167951,WBN,PPP
,204167969,WBN,PPP
,204167977,WBN,PPP
,204167985,WBN,PPP
,204167993,WBN,PPP
,204168009,WBN,PPP
,204168017,WBN,PPP
,204168025,WBN,PPP
,204168033,WBN,PPP
,204168041,WBN,PPP
,204168058,WBN,PPP
,204168066,WBN,PPP
,204168074,WBN,PPP
,204168082,WBN,PPP
,204168090,WBN,PPP
,204168108,WBN,PPP
,204168116,WBN,PPP
,204168124,WBN,PPP
,204168132,WBN,PPP
,204168140,WBN,PPP
,204168157,WBN,PPP
,204168165,WBN,PPP
,204168173,WBN,PPP
,204168181,WBN,PPP
,204168199,WBN,PPP
,204168207,WBN,PPP
,204168215,WBN,PPP
,204168223,WBN,PPP
,204168231,WBN,PPP
,204168249,WBN,PPP
,204168256,WBN,PPP
,204168264,WBN,PPP
,204168272,WBN,PPP
,204168280,WBN,PPP
,204168298,WBN,PPP
,204168306,WBN,PPP
,204168314,WBN,PPP
,204168322,WBN,PPP
,204168330,WBN,PPP
,204168348,WBN,PPP
,204168355,WBN,PPP
,204168363,WBN,PPP
,204168371,WBN,PPP
,204168389,WBN,PPP
,204168397,WBN,PPP
,204168405,WBN,PPP
,204168413,WBN,PPP
,204168421,WBN,PPP
,204168439,WBN,PPP
,204168447,WBN,PPP
,204168454,WBN,PPP
,204168462,WBN,PPP
,204168470,WBN,PPP
,204168488,WBN,PPP
,204168496,WBN,PPP
,204168504,WBN,PPP
,204168512,WBN,PPP
,204168520,WBN,PPP
,204168538,WBN,PPP
,204168546,WBN,PPP
,204168553,WBN,PPP
,204168561,WBN,PPP
,204168579,WBN,PPP
,204168587,WBN,PPP
,204168595,WBN,PPP
,204168603,WBN,PPP
,204168611,WBN,PPP
,204168629,WBN,PPP
,204168637,WBN,PPP
,204168645,WBN,PPP
,204168652,WBN,PPP
,204168660,WBN,PPP
,204168678,WBN,PPP
,204168686,WBN,PPP
,204168694,WBN,PPP
,204168702,WBN,PPP
,204168710,WBN,PPP
,204168728,WBN,PPP
,204168736,WBN,PPP
,204168744,WBN,PPP
,204168751,WBN,PPP
,204168769,WBN,PPP
,204168777,WBN,PPP
,204168785,WBN,PPP
,204168793,WBN,PPP
,204168801,WBN,PPP
,204168819,WBN,PPP
,204168827,WBN,PPP
,204168835,WBN,PPP
,204168843,WBN,PPP
,204168850,WBN,PPP
,204168868,WBN,PPP
,204168876,WBN,PPP
,204168884,WBN,PPP
,204168892,WBN,PPP
,204168900,WBN,PPP
,204168918,WBN,PPP
,204168926,WBN,PPP
,204168934,WBN,PPP
,204168942,WBN,PPP
,204168959,WBN,PPP
,204168967,WBN,PPP
,204168975,WBN,PPP
,204168983,WBN,PPP
,204168991,WBN,PPP
,204169007,WBN,PPP
,204169015,WBN,PPP
,204169023,WBN,PPP
,204169031,WBN,PPP
,204169049,WBN,PPP
,204169056,WBN,PPP
,204169064,WBN,PPP
,204169072,WBN,PPP
,204169080,WBN,PPP
,204169098,WBN,PPP
,204169106,WBN,PPP
,204169114,WBN,PPP
,204169122,WBN,PPP
,204169130,WBN,PPP
,204169148,WBN,PPP
,204169155,WBN,PPP
,204169163,WBN,PPP
,204169171,WBN,PPP
,204169189,WBN,PPP
,204169197,WBN,PPP
